epoch,train_loss,test_loss,train_acc,test_acc
0,0.3241030695246558,0.4207576364593627,0.9206349206349206,0.8915043302944728
1,0.16816216062499337,0.32002554853381154,0.9484126984126984,0.9063852826754252
2,0.10253832986185041,0.2549049116563812,0.9851190476190477,0.9510281398182824
3,0.09160972773404637,0.24801255064127833,0.9811507936507936,0.9364177499498639
4,0.062324431919177366,0.23345858464020205,0.9890873015873016,0.9480519493420919
5,0.06287869890656772,0.21640270713528578,0.9890873015873016,0.9569805207706633
6,0.052663205190420045,0.2269268465797805,0.9890873015873016,0.9540043302944728
7,0.05780793871184823,0.23069380019180136,0.9890873015873016,0.9569805207706633
8,0.04844416341154916,0.19838503437815513,0.9890873015873016,0.9599567112468538
9,0.06391705668007007,0.260990483379935,0.9871031746031746,0.9331709969611395
10,0.0463739163237342,0.2250976103842208,0.9890873015873016,0.9510281398182824
11,0.05227968995759635,0.23208108647373896,0.9900793650793651,0.9510281398182824
12,0.04563353862393654,0.2307041357421603,0.9900793650793651,0.9540043302944728
13,0.04758008268309776,0.23031279964261173,0.9890873015873016,0.9569805207706633
14,0.07360693814080503,0.30809451242463987,0.9751984126984127,0.9334415594736735
15,0.03397105611021285,0.21540057349803096,0.9900793650793651,0.9540043302944728
16,0.040106934038621284,0.2611093199620937,0.9910714285714286,0.9540043302944728
17,0.031750188303180334,0.24320216257658536,0.9920634920634921,0.9510281398182824
18,0.04279215361961153,0.22424983731765413,0.9920634920634921,0.9659090921992347
19,0.0335344333174961,0.20735142603839685,0.9920634920634921,0.9599567112468538
20,0.031374806286488116,0.2409898955285444,0.9920634920634921,0.9540043302944728
21,0.0364056762374881,0.21897858762651184,0.9900793650793651,0.9540043302944728
22,0.033783211036014046,0.2529120899638054,0.9900793650793651,0.9480519493420919
23,0.03399635869629818,0.25417145301365884,0.9920634920634921,0.9540043302944728
24,0.023082300007026893,0.23593214847553734,0.9950396825396826,0.9629329017230442
25,0.02819228687069534,0.22360137381177989,0.9910714285714286,0.9540043302944728
26,0.032406782790610794,0.21987869194957763,0.9920634920634921,0.9569805207706633
27,0.021757307195410996,0.23183173423058823,0.9940476190476191,0.9629329017230442
28,0.018012027752392377,0.22916463267213094,0.9940476190476191,0.9629329017230442
29,0.033636278911350806,0.2237579640775915,0.9930555555555556,0.9480519493420919
